score_mode,fine_role,assistant_turn_distance,samples,kept_fraction_mean,heavy_kept_fraction_mean,score_sum_mean,reactivated_messages,reactivated_as_heavy_messages
role_decay,asst_tool_call,3,21,0.0,0.0,6.3790690785362605,0,0
role_decay,asst_tool_call,4,14,0.0,0.0,2.7316965460777283,0,0
role_decay,asst_tool_call,5,11,0.0,0.0,1.1811967492103577,0,0
role_decay,asst_tool_call,6,8,0.0,0.0,0.4806116260588169,0,0
role_decay,asst_tool_call,7,5,0.0,0.0,0.15828995406627655,0,0
role_decay,asst_tool_call,8,4,0.0,0.0,0.06442871131002903,0,0
role_decay,asst_tool_call,9,3,0.0,0.0,0.029371154805024464,0,0
role_decay,asst_tool_call,10,1,0.0,0.0,0.015269430354237556,0,0
role_decay,user_msg,0,400,0.9984345054881235,0.0,5.781199574768543,0,0
role_decay,user_msg,1,360,0.5801419447650048,0.06111111111111111,4.9647957570023005,0,22
role_decay,user_msg,2,320,0.2110014358043688,0.20785644646534962,4.3173490758985285,0,68
role_decay,user_msg,3,280,0.07203819180038513,0.07203819180038513,3.8802729283060344,1,1
role_decay,user_msg,4,242,0.0032537808511834483,0.0032537808511834483,3.49173466824303,0,0
role_decay,user_msg,5,204,0.0,0.0,3.1712700204522,0,0
role_decay,user_msg,6,173,0.0,0.0,2.8504687726842186,0,0
role_decay,user_msg,7,156,0.0,0.0,2.50176094739865,0,0
role_decay,user_msg,8,146,0.0,0.0,2.246453493833542,0,0
role_decay,user_msg,9,136,0.0,0.0,1.9789947946281994,0,0
role_decay,user_msg,10,128,0.0,0.0,1.7646366762928665,0,0
role_decay,user_msg,11,120,0.0,0.0,1.56692213366429,0,0
role_decay,user_msg,12,114,0.0,0.0,1.4205739333441383,0,0
role_decay,user_msg,13,108,0.0,0.0,1.262104175708912,0,0
role_decay,user_msg,14,103,0.0,0.0,1.1279000550219156,0,0
role_decay,user_msg,15,99,0.0,0.0,0.9903975972021469,0,0
role_decay,user_msg,16,97,0.0,0.0,0.8845119467101146,0,0
role_decay,user_msg,17,95,0.0,0.0,0.7945082608022188,0,0
role_decay,user_msg,18,93,0.0,0.0,0.7094665610341615,0,0
role_decay,user_msg,19,91,0.0,0.0,0.6373446208762599,0,0
role_decay,user_msg,20,89,0.0,0.0,0.5690382072764836,0,0
role_decay,user_msg,21,87,0.0,0.0,0.5112526199255867,0,0
