sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac
ea871dd1-e45,10,24,9,1,0,user,user_msg,0.001238667668867303,0.05945604810563054,48,404,0.0594535007884869
ea871dd1-e45,10,24,10,0,0,assistant,asst_gen,0.004324272118139237,0.3156718646241643,73,404,0.31565834007320365
ea871dd1-e45,12,24,0,12,6,assistant,asst_greeting,0.006851440914302926,0.061662968228726335,9,483,0.06166662715954398
ea871dd1-e45,12,24,1,11,5,user,user_msg,0.0017701058786423387,0.06195370575248185,35,483,0.06195738193495825
ea871dd1-e45,12,24,2,10,5,assistant,asst_gen,0.0034046397729135336,0.11235311250614662,33,483,0.11235977926705053
ea871dd1-e45,12,24,3,9,4,user,user_msg,0.0005568509759204635,0.010023317566568343,18,483,0.010023912325896231
ea871dd1-e45,12,24,4,8,4,assistant,asst_gen,0.0014171325011279178,0.05810243254624463,41,483,0.05810588020351982
ea871dd1-e45,12,24,5,7,3,user,user_msg,0.0003239865641414023,0.0032398656414140228,10,483,0.003240057887174824
ea871dd1-e45,12,24,6,6,3,assistant,asst_gen,0.0008300503348657388,0.04565276841761563,55,483,0.04565547734204908
ea871dd1-e45,12,24,7,5,2,user,user_msg,0.00018375388130245995,0.007166401370795938,39,483,0.007166826607653333
ea871dd1-e45,12,24,8,4,2,assistant,asst_gen,0.0015319026311479585,0.06587181313936222,43,483,0.06587572181281783
ea871dd1-e45,12,24,9,3,1,user,user_msg,0.00038217642821515417,0.0183444685543274,48,483,0.018345557070551233
ea871dd1-e45,12,24,10,2,1,assistant,asst_gen,0.0016717931859403345,0.12204090257364442,73,483,0.12204814418448909
ea871dd1-e45,12,24,11,1,0,user,user_msg,0.0015414536205472687,0.041619247754776253,27,483,0.04162171733988692
ea871dd1-e45,12,24,12,0,0,assistant,asst_tool_call,0.0075367242672235496,0.3919096618956246,52,483,0.39193291686340886
ea871dd1-e45,14,24,0,14,7,assistant,asst_greeting,0.006642133007214094,0.05977919706492684,9,537,0.059780712097948614
ea871dd1-e45,14,24,1,13,6,user,user_msg,0.0016359020106739034,0.05725657037358662,35,537,0.05725802147361955
ea871dd1-e45,14,24,2,12,6,assistant,asst_gen,0.003145404107951867,0.10379833556241162,33,537,0.10380096620841732
ea871dd1-e45,14,24,3,11,5,user,user_msg,0.0005265778552846449,0.009478401395123608,18,537,0.009478641613992585
ea871dd1-e45,14,24,4,10,5,assistant,asst_gen,0.0012676046218570913,0.051971789496140744,41,537,0.05197310665965504
ea871dd1-e45,14,24,5,9,4,user,user_msg,0.0003036865245121589,0.0030368652451215894,10,537,0.003036942210878156
ea871dd1-e45,14,24,6,8,4,assistant,asst_gen,0.000719155303051428,0.03955354166782854,55,537,0.039554544105544286
ea871dd1-e45,14,24,7,7,3,user,user_msg,0.00018946025591729145,0.007388949980774367,39,537,0.007389137244969384
ea871dd1-e45,14,24,8,6,3,assistant,asst_gen,0.0012608433818665312,0.05421626542026085,43,537,0.054217639467361876
ea871dd1-e45,14,24,9,5,2,user,user_msg,0.00041969174356321694,0.020145203691034414,48,537,0.02014571424738714
ea871dd1-e45,14,24,10,4,2,assistant,asst_gen,0.0012903015574725384,0.0941920136954953,73,537,0.09419440088063902
ea871dd1-e45,14,24,11,3,1,user,user_msg,0.0011376246057122365,0.030715864354230384,27,537,0.030716642811470928
ea871dd1-e45,14,24,12,2,1,assistant,asst_tool_call,0.0034726783777701857,0.18057927564404966,52,537,0.18058385221213824
ea871dd1-e45,14,24,13,1,0,user,user_msg,0.0014681786498826229,0.03083175164753508,21,537,0.03083253304180196
ea871dd1-e45,14,24,14,0,0,assistant,asst_tool_call,0.007788807017755291,0.2570306315859246,33,537,0.25703714572317604
ea871dd1-e45,16,24,0,16,8,assistant,asst_greeting,0.007834119316949337,0.07050707385254404,9,704,0.07050732969653925
ea871dd1-e45,16,24,1,15,7,user,user_msg,0.0020354566235688426,0.0712409818249095,35,704,0.07124124033198427
ea871dd1-e45,16,24,2,14,7,assistant,asst_gen,0.0037482829527171546,0.12369333743966611,33,704,0.12369378627686643
ea871dd1-e45,16,24,3,13,6,user,user_msg,0.0005410501010677157,0.009738901819218881,18,704,0.009738937158078009
ea871dd1-e45,16,24,4,12,6,assistant,asst_gen,0.0013243359011450993,0.05429777194694907,41,704,0.05429796897340538
ea871dd1-e45,16,24,5,11,5,user,user_msg,0.000296529659681255,0.00296529659681255,10,704,0.002965307356773031
ea871dd1-e45,16,24,6,10,5,assistant,asst_gen,0.0007644892201741722,0.04204690710957947,55,704,0.04204705968219542
ea871dd1-e45,16,24,7,9,4,user,user_msg,0.0001988283363011255,0.007754305115743894,39,704,0.007754333253238367
ea871dd1-e45,16,24,8,8,4,assistant,asst_gen,0.001433716887552078,0.06164982616473936,43,704,0.061650049869070966
ea871dd1-e45,16,24,9,7,3,user,user_msg,0.000405176409427573,0.019448467652523505,48,704,0.019448538223792357
ea871dd1-e45,16,24,10,6,3,assistant,asst_gen,0.00111592796634405,0.08146274154311565,73,704,0.08146303714116161
ea871dd1-e45,16,24,11,5,2,user,user_msg,0.00046071205808941696,0.012439225568414258,27,704,0.012439270705745775
ea871dd1-e45,16,24,12,4,2,assistant,asst_tool_call,0.0016410240725894581,0.08533325177465183,52,704,0.08533356141734248
ea871dd1-e45,16,24,13,3,1,user,user_msg,0.0005488477072648248,0.01152580185256132,21,704,0.01152584367541728
ea871dd1-e45,16,24,14,2,1,assistant,asst_tool_call,0.0012502924273277783,0.04125965010181668,33,704,0.04125979981776923
ea871dd1-e45,16,24,15,1,0,user,user_msg,0.0010544426833752772,0.012653312200503327,12,704,0.012653358114675752
ea871dd1-e45,16,24,16,0,0,assistant,asst_gen,0.001883738831094634,0.29197951881966827,155,704,0.29198057830494445
ea871dd1-e45,18,24,0,18,9,assistant,asst_greeting,0.006749268030506317,0.06074341227455685,9,1030,0.060747307136245016
ea871dd1-e45,18,24,1,17,8,user,user_msg,0.0016980762222374326,0.05943266777831014,35,1030,0.05943647859518867
ea871dd1-e45,18,24,2,16,8,assistant,asst_gen,0.003688825349018596,0.12173123651761367,33,1030,0.12173904191266165
ea871dd1-e45,18,24,3,15,7,user,user_msg,0.0004015625969192047,0.007228126744545685,18,1030,0.0072285902113296595
ea871dd1-e45,18,24,4,14,7,assistant,asst_gen,0.0011403583655964012,0.04675469298945245,41,1030,0.04675769089582036
ea871dd1-e45,18,24,5,13,6,user,user_msg,0.0002592147881841811,0.002592147881841811,10,1030,0.002592314090111926
ea871dd1-e45,18,24,6,12,6,assistant,asst_gen,0.0006047541125526275,0.03326147619039451,55,1030,0.03326360891301339
